,Month,Measure,Inflation Index
456,2013-05,Train,95.21
457,2013-05,Transport Services,97.16
458,2013-05,Transport,100.83
459,2013-05,All Items,99.54
460,2013-04,Train,95.21
461,2013-04,Transport Services,96.96
462,2013-04,Transport,101.75
463,2013-04,All Items,99.48
464,2013-03,Train,95.28
465,2013-03,Transport Services,96.03
466,2013-03,Transport,101.97
467,2013-03,All Items,99.63
468,2013-02,Train,95.28
469,2013-02,Transport Services,94.26
470,2013-02,Transport,101.67
471,2013-02,All Items,98.88
472,2013-01,Train,95.28
473,2013-01,Transport Services,95.21
474,2013-01,Transport,100.99
475,2013-01,All Items,98.6
476,2012-12,Train,93.19
477,2012-12,Transport Services,98.83
478,2012-12,Transport,100.77
479,2012-12,All Items,99.1
480,2012-11,Train,93.19
481,2012-11,Transport Services,94.38
482,2012-11,Transport,99.93
483,2012-11,All Items,98.79
484,2012-10,Train,93.19
485,2012-10,Transport Services,96.27
486,2012-10,Transport,100.9
487,2012-10,All Items,98.94
488,2012-09,Train,93.19
489,2012-09,Transport Services,95.38
490,2012-09,Transport,101.31
491,2012-09,All Items,98.76
492,2012-08,Train,93.19
493,2012-08,Transport Services,102.99
494,2012-08,Transport,102.56
495,2012-08,All Items,99.0
496,2012-07,Train,92.63
497,2012-07,Transport Services,102.76
498,2012-07,Transport,101.29
499,2012-07,All Items,98.35
500,2012-06,Train,92.63
501,2012-06,Transport Services,97.35
502,2012-06,Transport,100.39
503,2012-06,All Items,98.78
504,2012-05,Train,92.63
505,2012-05,Transport Services,95.18
506,2012-05,Transport,100.8
507,2012-05,All Items,98.75
508,2012-04,Train,92.63
509,2012-04,Transport Services,97.02
510,2012-04,Transport,101.67
511,2012-04,All Items,98.8
512,2012-03,Train,92.41
513,2012-03,Transport Services,94.09
514,2012-03,Transport,100.89
515,2012-03,All Items,98.67
516,2012-02,Train,91.97
517,2012-02,Transport Services,93.94
518,2012-02,Transport,100.12
519,2012-02,All Items,97.86
520,2012-01,Train,91.97
521,2012-01,Transport Services,93.38
522,2012-01,Transport,99.86
523,2012-01,All Items,97.46
524,2011-12,Train,89.71
525,2011-12,Transport Services,96.17
526,2011-12,Transport,99.09
527,2011-12,All Items,97.8
528,2011-11,Train,89.71
529,2011-11,Transport Services,94.89
530,2011-11,Transport,98.52
531,2011-11,All Items,97.41
532,2011-10,Train,89.71
533,2011-10,Transport Services,95.25
534,2011-10,Transport,98.56
535,2011-10,All Items,97.14
536,2011-09,Train,89.71
537,2011-09,Transport Services,95.09
538,2011-09,Transport,98.43
539,2011-09,All Items,96.91
540,2011-08,Train,89.71
541,2011-08,Transport Services,98.49
542,2011-08,Transport,98.34
543,2011-08,All Items,96.98
544,2011-07,Train,89.71
545,2011-07,Transport Services,97.53
546,2011-07,Transport,98.45
547,2011-07,All Items,96.48
548,2011-06,Train,88.89
549,2011-06,Transport Services,94.08
550,2011-06,Transport,98.0
551,2011-06,All Items,96.91
552,2011-05,Train,88.89
553,2011-05,Transport Services,94.36
554,2011-05,Transport,98.03
555,2011-05,All Items,96.83
556,2011-04,Train,88.89
557,2011-04,Transport Services,95.16
558,2011-04,Transport,98.72
559,2011-04,All Items,96.78
560,2011-03,Train,88.89
561,2011-03,Transport Services,93.08
562,2011-03,Transport,97.91
563,2011-03,All Items,96.45
564,2011-02,Train,88.89
565,2011-02,Transport Services,93.55
566,2011-02,Transport,97.21
567,2011-02,All Items,95.67
568,2011-01,Train,87.57
569,2011-01,Transport Services,92.43
570,2011-01,Transport,96.48
571,2011-01,All Items,95.22
572,2010-12,Train,87.48
573,2010-12,Transport Services,94.44
574,2010-12,Transport,95.31
575,2010-12,All Items,95.45
576,2010-11,Train,87.48
577,2010-11,Transport Services,92.22
578,2010-11,Transport,94.16
579,2010-11,All Items,95.02
580,2010-10,Train,87.48
581,2010-10,Transport Services,92.98
582,2010-10,Transport,93.97
583,2010-10,All Items,94.91
584,2010-09,Train,87.48
585,2010-09,Transport Services,92.77
586,2010-09,Transport,93.83
587,2010-09,All Items,94.79
588,2010-08,Train,87.48
589,2010-08,Transport Services,96.6
590,2010-08,Transport,94.04
591,2010-08,All Items,94.86
592,2010-07,Train,87.48
593,2010-07,Transport Services,96.36
594,2010-07,Transport,94.47
595,2010-07,All Items,94.64
596,2010-06,Train,86.81
597,2010-06,Transport Services,92.25
598,2010-06,Transport,93.6
599,2010-06,All Items,94.91
600,2010-05,Train,86.81
601,2010-05,Transport Services,92.11
602,2010-05,Transport,93.78
603,2010-05,All Items,94.92
604,2010-04,Train,86.81
605,2010-04,Transport Services,92.76
606,2010-04,Transport,93.68
607,2010-04,All Items,94.81
