,LOCATION,Year,Rail KM (mil),Bus KM (mil),Rail Infrastructure Investment,Population,Country,Satisfaction
301,NLD,2002,15500.0,15427.0,1601844259.86,16148921.0,Netherlands,
302,NLD,2003,14500.0,15600.0,1509670966.1662,16225303.0,Netherlands,
303,NLD,2004,14079.0,15949.0,1207837729.1272,16281777.0,Netherlands,
304,NLD,2005,14730.0,16034.0,1239506451.0677,16319871.0,Netherlands,
305,NLD,2006,15889.0,15630.0,772374695.11525,16346096.0,Netherlands,57.0
306,NLD,2007,15546.0,16105.0,909541031.60251,16381696.0,Netherlands,56.0
307,NLD,2008,15313.0,16192.0,862731069.89174,16445590.0,Netherlands,58.0
308,ISL,2000,,485.0,,281200.0,Iceland,
309,ISL,2001,,508.0,,284970.0,Iceland,
310,ISL,2002,,523.0,,287516.0,Iceland,
311,ISL,2003,,537.0,,289522.0,Iceland,
312,ISL,2004,,554.0,,292077.0,Iceland,
313,ISL,2005,,587.0,,296734.0,Iceland,
314,ISL,2006,,622.0,,303784.0,Iceland,
315,ISL,2007,,653.0,,311567.0,Iceland,
316,ISL,2008,,637.0,,317404.0,Iceland,58.0
317,ISL,2009,,644.0,,318501.0,Iceland,
318,ISL,2010,,638.0,,318044.0,Iceland,
319,ISL,2011,,615.0,,319011.0,Iceland,
320,ISL,2012,,622.0,,320723.0,Iceland,58.0
321,ISL,2013,,640.0,,323763.0,Iceland,64.0
322,ISL,2014,,673.0,,327379.0,Iceland,
323,ISL,2015,,718.0,,330818.0,Iceland,59.0
324,ISL,2016,,833.0,,335435.0,Iceland,56.0
325,ISL,2017,,910.0,,343399.0,Iceland,64.0
326,ISL,2018,,939.0,,352722.0,Iceland,
327,ISL,2019,,931.0,,360558.0,Iceland,52.0
328,ISL,2020,,720.0,,366462.0,Iceland,61.0
329,CHE,2000,12620.0,5515.0,2584376080.1309,7184250.0,Switzerland,
330,CHE,2001,13301.0,5615.0,2749145915.7634,7226647.0,Switzerland,
331,CHE,2002,14147.0,5634.0,3372049456.7254,7284754.0,Switzerland,
332,CHE,2003,14509.0,5773.0,3464808098.7388,7339002.0,Switzerland,
333,CHE,2004,14914.0,5847.0,3550040466.3321,7389626.0,Switzerland,
334,CHE,2005,16144.0,6093.0,3611541605.6405,7437116.0,Switzerland,
335,CHE,2006,16578.0,6389.0,3789763825.3618,7483935.0,Switzerland,80.0
336,CHE,2007,17434.0,6496.0,3792316643.5718,7551117.0,Switzerland,
337,CHE,2008,17776.0,6229.6,3994327709.1561,7647676.0,Switzerland,
338,CHE,2009,18571.0,6352.2910016,4331774384.5821,7743832.0,Switzerland,79.0
339,CHE,2010,19177.0,6485.8538816,4123558378.0159,7824910.0,Switzerland,
340,CHE,2011,19471.0,6676.6850048,4013799534.3687,7912396.0,Switzerland,
341,CHE,2012,19262.0,6837.2478848,3938208146.4217,7996861.0,Switzerland,80.0
342,CHE,2013,19447.0,6895.1977792,4196923521.1147,8089346.0,Switzerland,
343,CHE,2014,20010.0,7016.2,4026885249.086,8188646.0,Switzerland,82.0
344,CHE,2015,20389.0,7163.2260096,4193518171.5999,8282398.0,Switzerland,81.0
345,CHE,2016,20812.0,7305.7072384,3913284168.0612,8373334.0,Switzerland,82.0
346,CHE,2017,20864.5,7362.52538,3249344323.7167,8451834.0,Switzerland,84.0
347,CHE,2018,20613.0,7434.6618624,3310996857.4178,8514327.0,Switzerland,83.0
348,CHE,2019,21737.0,7714.38783,3536251997.366,8575280.0,Switzerland,83.0
349,CHE,2020,13334.0,6203.770752,3748878633.3172,8638170.0,Switzerland,87.0
350,GRC,2000,1628.0,6000.0,748101265.82278,10805806.0,Greece,
351,GRC,2001,1797.0,6012.0,374845869.29716,10862129.0,Greece,
352,GRC,2002,1836.0,5990.0,1181490384.6154,10902022.0,Greece,
353,GRC,2003,1574.0,6057.0,1987134502.924,10928072.0,Greece,
354,GRC,2004,1669.0,6193.0,2024943310.6576,10955142.0,Greece,
355,GRC,2005,1854.0,6226.0,471491228.07018,10987316.0,Greece,
356,GRC,2006,1811.0,6069.0,260000000.0,11020366.0,Greece,57.0
357,GRC,2007,1930.0,6253.0,325955734.40644,11048466.0,Greece,58.0
358,GRC,2008,1657.0,6287.0,325358851.67464,11077839.0,Greece,
359,BGR,2000,3472.0,15108.0,265778431.42626,8170172.0,Bulgaria,
360,BGR,2001,2990.0,15707.0,199829384.71876,8009141.5,Bulgaria,
361,BGR,2002,2598.0,17018.0,127423138.27556,7837160.5,Bulgaria,
362,BGR,2003,2517.0,14005.0,80113206.544099,7775326.5,Bulgaria,
363,BGR,2004,2404.0,12057.0,72130515.250408,7716860.0,Bulgaria,
364,BGR,2005,2389.0,12289.0,77989896.846901,7658972.0,Bulgaria,
365,BGR,2006,2422.0,12039.0,53101884.99325,7601022.0,Bulgaria,53.0
366,BGR,2007,2424.0,12209.0,47433366.971266,7545337.5,Bulgaria,
367,BGR,2008,2335.0,12305.0,73470040.964995,7492560.5,Bulgaria,
368,BGR,2009,2144.0,10073.0,52646809.479878,7444442.5,Bulgaria,47.0
369,BGR,2010,2100.0,9924.0,125244588.70444,7395598.5,Bulgaria,46.0
370,BGR,2011,2068.0,9766.0,108466006.80881,7348327.5,Bulgaria,51.0
371,BGR,2012,1876.0,9233.0,129744934.33079,7305888.0,Bulgaria,60.0
372,BGR,2013,1826.0,8916.0,131387682.89942,7265114.5,Bulgaria,54.0
373,BGR,2014,1702.0,10145.0,175012072.44573,7223937.5,Bulgaria,54.0
374,BGR,2015,1552.0,10231.0,301155537.37601,7177991.0,Bulgaria,62.0
375,BGR,2016,1458.0,9757.0,184593993.49217,7127821.5,Bulgaria,55.0
